"";"benchmark";"model_type";"aic";"binary_accuracy";"rmse"
"46";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + MMLU_minus_1 + ipa_transliterate_2_exact_match_minus_1";"346.490310029276";"0.666666666666667";"0.0972577599589544"
"47";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + MMLU_minus_1 + ipa_transliterate_2_bleu_minus_1";"346.650425862804";"0.666666666666667";"0.0933337111469002"
"48";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + MMLU_minus_1 + arithmetic_3ds_2_acc_minus_1";"345.929623722973";"0.666666666666667";"0.0882270961514461"
"49";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + MMLU_minus_1 + arithmetic_3da_2_acc_minus_1";"345.978290304133";"0.666666666666667";"0.0922221579805491"
"50";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + MMLU_minus_1 + arithmetic_2dm_2_acc_minus_1";"346.149669717901";"0.666666666666667";"0.0962965515729819"
"51";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + MMLU_minus_1 + arithmetic_2da_2_acc_minus_1";"346.571780165687";"0.666666666666667";"0.0958448375001051"
"52";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + ARC.C_minus_1 + HellaSwag_minus_1";"343.580977566525";"0.666666666666667";"0.099959689764785"
"53";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + ARC.C_minus_1 + Winograd_minus_1";"344.916342641744";"0.666666666666667";"0.0997342055279685"
"54";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + ARC.C_minus_1 + TruthfulQA_minus_1";"345.164653679011";"0.666666666666667";"0.093943130391355"
"55";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + ARC.C_minus_1 + GSM8K_minus_1";"345.673171952324";"0.666666666666667";"0.0951286674355919"
"56";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + ARC.C_minus_1 + XWinograd_minus_1";"344.53404219705";"0.666666666666667";"0.0970327816462075"
"57";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + ARC.C_minus_1 + HumanEval_minus_1";"345.670218174753";"0.666666666666667";"0.0953944508048255"
"58";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + ARC.C_minus_1 + parsinlu_qa_2_acc_minus_1";"344.399679834264";"0.666666666666667";"0.0999584437906523"
"59";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + ARC.C_minus_1 + word_unscrambling_2_exact_match_minus_1";"345.637285125046";"0.666666666666667";"0.0957304369671024"
"60";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + ARC.C_minus_1 + ipa_transliterate_2_exact_match_minus_1";"345.088304718551";"0.666666666666667";"0.0993585313211989"
"61";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + ARC.C_minus_1 + ipa_transliterate_2_bleu_minus_1";"345.534205403467";"0.666666666666667";"0.094605711987643"
"62";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + ARC.C_minus_1 + arithmetic_3ds_2_acc_minus_1";"344.113075401585";"0.666666666666667";"0.0888076663531257"
"63";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + ARC.C_minus_1 + arithmetic_3da_2_acc_minus_1";"345.009226061145";"0.666666666666667";"0.0935180266392957"
"64";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + ARC.C_minus_1 + arithmetic_2dm_2_acc_minus_1";"345.177615632692";"0.666666666666667";"0.0969583740283911"
"65";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + ARC.C_minus_1 + arithmetic_2da_2_acc_minus_1";"345.42563542881";"0.666666666666667";"0.0967997124049331"
"66";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HellaSwag_minus_1 + Winograd_minus_1";"343.573751204373";"0.666666666666667";"0.103386616752802"
"67";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HellaSwag_minus_1 + TruthfulQA_minus_1";"343.72573420434";"0.666666666666667";"0.0976415353152042"
"68";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HellaSwag_minus_1 + GSM8K_minus_1";"344.135393782771";"0.666666666666667";"0.0997786156055964"
"69";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HellaSwag_minus_1 + XWinograd_minus_1";"343.063447492688";"0.666666666666667";"0.100785974488546"
"70";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HellaSwag_minus_1 + HumanEval_minus_1";"342.155395795819";"0.666666666666667";"0.094818445658907"
"71";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HellaSwag_minus_1 + parsinlu_qa_2_acc_minus_1";"342.674003921568";"0.633333333333333";"0.104671805223384"
"72";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HellaSwag_minus_1 + word_unscrambling_2_exact_match_minus_1";"344.248755938292";"0.666666666666667";"0.0996481294003011"
"73";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HellaSwag_minus_1 + ipa_transliterate_2_exact_match_minus_1";"343.641614593862";"0.666666666666667";"0.103531704187002"
"74";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HellaSwag_minus_1 + ipa_transliterate_2_bleu_minus_1";"344.194523528358";"0.666666666666667";"0.098607180934358"
